parents,has_nurs,form_st,children,housing,health,target
usual,proper,complete,more,convenient,recommended,priority
usual,proper,complete,more,convenient,priority,priority
usual,proper,complete,more,convenient,not_recom,not_recom
usual,proper,complete,more,convenient,recommended,priority
usual,proper,complete,more,convenient,priority,priority
usual,proper,complete,more,convenient,not_recom,not_recom
usual,proper,complete,more,convenient,recommended,priority
usual,proper,complete,more,convenient,priority,priority
usual,proper,complete,more,convenient,not_recom,not_recom
usual,proper,complete,more,convenient,recommended,priority
usual,proper,complete,more,convenient,priority,priority
usual,proper,complete,more,convenient,not_recom,not_recom
usual,proper,complete,more,less_conv,recommended,priority
usual,proper,complete,more,less_conv,priority,priority
usual,proper,complete,more,less_conv,not_recom,not_recom
usual,proper,complete,more,less_conv,recommended,priority
usual,proper,complete,more,less_conv,priority,priority
usual,proper,complete,more,less_conv,not_recom,not_recom
usual,proper,complete,more,less_conv,recommended,priority
usual,proper,complete,more,less_conv,priority,priority
usual,proper,complete,more,less_conv,not_recom,not_recom
usual,proper,complete,more,less_conv,recommended,priority
usual,proper,complete,more,less_conv,priority,priority
usual,proper,complete,more,less_conv,not_recom,not_recom
usual,proper,complete,more,less_conv,recommended,priority
usual,proper,complete,more,less_conv,priority,priority
usual,proper,complete,more,less_conv,not_recom,not_recom
usual,proper,complete,more,less_conv,recommended,priority
usual,proper,complete,more,less_conv,priority,priority
usual,proper,complete,more,less_conv,not_recom,not_recom
usual,proper,complete,more,critical,recommended,priority
usual,proper,complete,more,critical,priority,priority
usual,proper,complete,more,critical,not_recom,not_recom
usual,proper,complete,more,critical,recommended,priority
usual,proper,complete,more,critical,priority,priority
usual,proper,complete,more,critical,not_recom,not_recom
usual,proper,complete,more,critical,recommended,priority
usual,proper,complete,more,critical,priority,priority
usual,proper,complete,more,critical,not_recom,not_recom
usual,proper,complete,more,critical,recommended,priority
usual,proper,complete,more,critical,priority,priority
usual,proper,complete,more,critical,not_recom,not_recom
usual,proper,complete,more,critical,recommended,priority
usual,proper,complete,more,critical,priority,priority
usual,proper,complete,more,critical,not_recom,not_recom
usual,proper,complete,more,critical,recommended,priority
usual,proper,complete,more,critical,priority,priority
usual,proper,complete,more,critical,not_recom,not_recom
usual,proper,completed,1,convenient,recommended,very_recom
usual,proper,completed,1,convenient,priority,priority
usual,proper,completed,1,convenient,not_recom,not_recom
usual,proper,completed,1,convenient,recommended,very_recom
usual,proper,completed,1,convenient,priority,priority
usual,proper,completed,1,convenient,not_recom,not_recom
usual,proper,completed,1,convenient,recommended,priority
usual,proper,completed,1,convenient,priority,priority
usual,proper,completed,1,convenient,not_recom,not_recom
usual,proper,completed,1,convenient,recommended,very_recom
usual,proper,completed,1,convenient,priority,priority
usual,proper,completed,1,convenient,not_recom,not_recom
usual,proper,completed,1,convenient,recommended,very_recom
usual,proper,completed,1,convenient,priority,priority
usual,proper,completed,1,convenient,not_recom,not_recom
usual,proper,completed,1,convenient,recommended,priority
usual,proper,completed,1,convenient,priority,priority
usual,proper,completed,1,convenient,not_recom,not_recom
usual,proper,completed,1,less_conv,recommended,very_recom
usual,proper,completed,1,less_conv,priority,priority
usual,proper,completed,1,less_conv,not_recom,not_recom
usual,proper,completed,1,less_conv,recommended,very_recom
usual,proper,completed,1,less_conv,priority,priority
usual,proper,completed,1,less_conv,not_recom,not_recom
usual,proper,completed,1,less_conv,recommended,priority
usual,proper,completed,1,less_conv,priority,priority
usual,proper,completed,1,less_conv,not_recom,not_recom
usual,proper,completed,1,less_conv,recommended,very_recom
usual,proper,completed,1,less_conv,priority,priority
usual,proper,completed,1,less_conv,not_recom,not_recom
usual,proper,completed,1,less_conv,recommended,very_recom
usual,proper,completed,1,less_conv,priority,priority
usual,proper,completed,1,less_conv,not_recom,not_recom
usual,proper,completed,1,less_conv,recommended,priority
usual,proper,completed,1,less_conv,priority,priority
usual,proper,completed,1,less_conv,not_recom,not_recom
usual,proper,completed,1,critical,recommended,priority
usual,proper,completed,1,critical,priority,priority
usual,proper,completed,1,critical,not_recom,not_recom
usual,proper,completed,1,critical,recommended,priority
usual,proper,completed,1,critical,priority,priority
usual,proper,completed,1,critical,not_recom,not_recom
usual,proper,completed,1,critical,recommended,priority
usual,proper,completed,1,critical,priority,priority
usual,proper,completed,1,critical,not_recom,not_recom
usual,proper,completed,1,critical,recommended,priority
usual,proper,completed,1,critical,priority,priority
usual,proper,completed,1,critical,not_recom,not_recom
usual,proper,completed,1,critical,recommended,priority
usual,proper,completed,1,critical,priority,priority
usual,proper,completed,1,critical,not_recom,not_recom
usual,proper,completed,1,critical,recommended,priority
usual,proper,completed,1,critical,priority,priority
usual,proper,completed,1,critical,not_recom,not_recom
usual,proper,completed,2,convenient,recommended,very_recom
usual,proper,completed,2,convenient,priority,priority
usual,proper,completed,2,convenient,not_recom,not_recom
usual,proper,completed,2,convenient,recommended,very_recom
usual,proper,completed,2,convenient,priority,priority
usual,proper,completed,2,convenient,not_recom,not_recom
usual,proper,completed,2,convenient,recommended,priority
usual,proper,completed,2,convenient,priority,priority
usual,proper,completed,2,convenient,not_recom,not_recom
usual,proper,completed,2,convenient,recommended,very_recom
usual,proper,completed,2,convenient,priority,priority
usual,proper,completed,2,convenient,not_recom,not_recom
usual,proper,completed,2,convenient,recommended,very_recom
usual,proper,completed,2,convenient,priority,priority
usual,proper,completed,2,convenient,not_recom,not_recom
usual,proper,completed,2,convenient,recommended,priority
usual,proper,completed,2,convenient,priority,priority
usual,proper,completed,2,convenient,not_recom,not_recom
usual,proper,completed,2,less_conv,recommended,very_recom
usual,proper,completed,2,less_conv,priority,priority
usual,proper,completed,2,less_conv,not_recom,not_recom
usual,proper,completed,2,less_conv,recommended,very_recom
usual,proper,completed,2,less_conv,priority,priority
usual,proper,completed,2,less_conv,not_recom,not_recom
usual,proper,completed,2,less_conv,recommended,priority
usual,proper,completed,2,less_conv,priority,priority
usual,proper,completed,2,less_conv,not_recom,not_recom
usual,proper,completed,2,less_conv,recommended,very_recom
usual,proper,completed,2,less_conv,priority,priority
usual,proper,completed,2,less_conv,not_recom,not_recom
usual,proper,completed,2,less_conv,recommended,very_recom
usual,proper,completed,2,less_conv,priority,priority
usual,proper,completed,2,less_conv,not_recom,not_recom
usual,proper,completed,2,less_conv,recommended,priority
usual,proper,completed,2,less_conv,priority,priority
usual,proper,completed,2,less_conv,not_recom,not_recom
usual,proper,completed,2,critical,recommended,priority
usual,proper,completed,2,critical,priority,priority
usual,proper,completed,2,critical,not_recom,not_recom
usual,proper,completed,2,critical,recommended,priority
usual,proper,completed,2,critical,priority,priority
usual,proper,completed,2,critical,not_recom,not_recom
usual,proper,completed,2,critical,recommended,priority
usual,proper,completed,2,critical,priority,priority
usual,proper,completed,2,critical,not_recom,not_recom
usual,proper,completed,2,critical,recommended,priority
usual,proper,completed,2,critical,priority,priority
usual,proper,completed,2,critical,not_recom,not_recom
usual,proper,completed,2,critical,recommended,priority
usual,proper,completed,2,critical,priority,priority
usual,proper,completed,2,critical,not_recom,not_recom
usual,proper,completed,2,critical,recommended,priority
usual,proper,completed,2,critical,priority,priority
usual,proper,completed,2,critical,not_recom,not_recom
usual,proper,completed,3,convenient,recommended,very_recom
usual,proper,completed,3,convenient,priority,priority
usual,proper,completed,3,convenient,not_recom,not_recom
usual,proper,completed,3,convenient,recommended,very_recom
usual,proper,completed,3,convenient,priority,priority
usual,proper,completed,3,convenient,not_recom,not_recom
usual,proper,completed,3,convenient,recommended,priority
usual,proper,completed,3,convenient,priority,priority
usual,proper,completed,3,convenient,not_recom,not_recom
usual,proper,completed,3,convenient,recommended,priority
usual,proper,completed,3,convenient,priority,priority
usual,proper,completed,3,convenient,not_recom,not_recom
usual,proper,completed,3,convenient,recommended,priority
usual,proper,completed,3,convenient,priority,priority
usual,proper,completed,3,convenient,not_recom,not_recom
usual,proper,completed,3,convenient,recommended,priority
usual,proper,completed,3,convenient,priority,priority
usual,proper,completed,3,convenient,not_recom,not_recom
usual,proper,completed,3,less_conv,recommended,priority
usual,proper,completed,3,less_conv,priority,priority
usual,proper,completed,3,less_conv,not_recom,not_recom
usual,proper,completed,3,less_conv,recommended,priority
usual,proper,completed,3,less_conv,priority,priority
usual,proper,completed,3,less_conv,not_recom,not_recom
usual,proper,completed,3,less_conv,recommended,priority
usual,proper,completed,3,less_conv,priority,priority
usual,proper,completed,3,less_conv,not_recom,not_recom
usual,proper,completed,3,less_conv,recommended,priority
usual,proper,completed,3,less_conv,priority,priority
usual,proper,completed,3,less_conv,not_recom,not_recom
usual,proper,completed,3,less_conv,recommended,priority
usual,proper,completed,3,less_conv,priority,priority
usual,proper,completed,3,less_conv,not_recom,not_recom
usual,proper,completed,3,less_conv,recommended,priority
usual,proper,completed,3,less_conv,priority,priority
usual,proper,completed,3,less_conv,not_recom,not_recom
usual,proper,completed,3,critical,recommended,priority
usual,proper,completed,3,critical,priority,priority
usual,proper,completed,3,critical,not_recom,not_recom
usual,proper,completed,3,critical,recommended,priority
usual,proper,completed,3,critical,priority,priority
usual,proper,completed,3,critical,not_recom,not_recom
usual,proper,completed,3,critical,recommended,priority
usual,proper,completed,3,critical,priority,priority
usual,proper,completed,3,critical,not_recom,not_recom
usual,proper,completed,3,critical,recommended,priority
usual,proper,completed,3,critical,priority,priority
usual,proper,completed,3,critical,not_recom,not_recom
usual,proper,completed,3,critical,recommended,priority
usual,proper,completed,3,critical,priority,priority
usual,proper,completed,3,critical,not_recom,not_recom
usual,proper,completed,3,critical,recommended,priority
usual,proper,completed,3,critical,priority,priority
usual,proper,completed,3,critical,not_recom,not_recom
usual,proper,completed,more,convenient,recommended,very_recom
usual,proper,completed,more,convenient,priority,priority
usual,proper,completed,more,convenient,not_recom,not_recom
usual,proper,completed,more,convenient,recommended,very_recom
usual,proper,completed,more,convenient,priority,priority
usual,proper,completed,more,convenient,not_recom,not_recom
usual,proper,completed,more,convenient,recommended,priority
usual,proper,completed,more,convenient,priority,priority
usual,proper,completed,more,convenient,not_recom,not_recom
usual,proper,completed,more,convenient,recommended,priority
usual,proper,completed,more,convenient,priority,priority
usual,proper,completed,more,convenient,not_recom,not_recom
usual,proper,completed,more,convenient,recommended,priority
usual,proper,completed,more,convenient,priority,priority
usual,proper,completed,more,convenient,not_recom,not_recom
usual,proper,completed,more,convenient,recommended,priority
usual,proper,completed,more,convenient,priority,priority
usual,proper,completed,more,convenient,not_recom,not_recom
usual,proper,completed,more,less_conv,recommended,priority
usual,proper,completed,more,less_conv,priority,priority
usual,proper,completed,more,less_conv,not_recom,not_recom
usual,proper,completed,more,less_conv,recommended,priority
usual,proper,completed,more,less_conv,priority,priority
usual,proper,completed,more,less_conv,not_recom,not_recom
usual,proper,completed,more,less_conv,recommended,priority
usual,proper,completed,more,less_conv,priority,priority
usual,proper,completed,more,less_conv,not_recom,not_recom
usual,proper,completed,more,less_conv,recommended,priority
usual,proper,completed,more,less_conv,priority,priority
usual,proper,completed,more,less_conv,not_recom,not_recom
usual,proper,completed,more,less_conv,recommended,priority
usual,proper,completed,more,less_conv,priority,priority
usual,proper,completed,more,less_conv,not_recom,not_recom
usual,proper,completed,more,less_conv,recommended,priority
usual,proper,completed,more,less_conv,priority,priority
usual,proper,completed,more,less_conv,not_recom,not_recom
usual,proper,completed,more,critical,recommended,priority
usual,proper,completed,more,critical,priority,priority
usual,proper,completed,more,critical,not_recom,not_recom
usual,proper,completed,more,critical,recommended,priority
usual,proper,completed,more,critical,priority,priority
usual,proper,completed,more,critical,not_recom,not_recom
usual,proper,completed,more,critical,recommended,priority
usual,proper,completed,more,critical,priority,priority
usual,proper,completed,more,critical,not_recom,not_recom
usual,proper,completed,more,critical,recommended,priority
usual,proper,completed,more,critical,priority,priority
usual,proper,completed,more,critical,not_recom,not_recom
usual,proper,completed,more,critical,recommended,priority
usual,proper,completed,more,critical,priority,priority
usual,proper,completed,more,critical,not_recom,not_recom
usual,proper,completed,more,critical,recommended,priority
usual,proper,completed,more,critical,priority,priority
usual,proper,completed,more,critical,not_recom,not_recom
usual,proper,incomplete,1,convenient,recommended,very_recom
usual,proper,incomplete,1,convenient,priority,priority
usual,proper,incomplete,1,convenient,not_recom,not_recom
usual,proper,incomplete,1,convenient,recommended,very_recom
usual,proper,incomplete,1,convenient,priority,priority
usual,proper,incomplete,1,convenient,not_recom,not_recom
usual,proper,incomplete,1,convenient,recommended,priority
usual,proper,incomplete,1,convenient,priority,priority
usual,proper,incomplete,1,convenient,not_recom,not_recom
usual,proper,incomplete,1,convenient,recommended,very_recom
usual,proper,incomplete,1,convenient,priority,priority
usual,proper,incomplete,1,convenient,not_recom,not_recom
usual,proper,incomplete,1,convenient,recommended,very_recom
usual,proper,incomplete,1,convenient,priority,priority
usual,proper,incomplete,1,convenient,not_recom,not_recom
usual,proper,incomplete,1,convenient,recommended,priority
usual,proper,incomplete,1,convenient,priority,priority
usual,proper,incomplete,1,convenient,not_recom,not_recom
usual,proper,incomplete,1,less_conv,recommended,very_recom
usual,proper,incomplete,1,less_conv,priority,priority
usual,proper,incomplete,1,less_conv,not_recom,not_recom
usual,proper,incomplete,1,less_conv,recommended,very_recom
usual,proper,incomplete,1,less_conv,priority,priority
usual,proper,incomplete,1,less_conv,not_recom,not_recom
usual,proper,incomplete,1,less_conv,recommended,priority
usual,proper,incomplete,1,less_conv,priority,priority
usual,proper,incomplete,1,less_conv,not_recom,not_recom
usual,proper,incomplete,1,less_conv,recommended,very_recom
usual,proper,incomplete,1,less_conv,priority,priority
usual,proper,incomplete,1,less_conv,not_recom,not_recom
usual,proper,incomplete,1,less_conv,recommended,very_recom
usual,proper,incomplete,1,less_conv,priority,priority
usual,proper,incomplete,1,less_conv,not_recom,not_recom
usual,proper,incomplete,1,less_conv,recommended,priority
usual,proper,incomplete,1,less_conv,priority,priority
usual,proper,incomplete,1,less_conv,not_recom,not_recom
usual,proper,incomplete,1,critical,recommended,priority
usual,proper,incomplete,1,critical,priority,priority
usual,proper,incomplete,1,critical,not_recom,not_recom
usual,proper,incomplete,1,critical,recommended,priority
usual,proper,incomplete,1,critical,priority,priority
usual,proper,incomplete,1,critical,not_recom,not_recom
usual,proper,incomplete,1,critical,recommended,priority
usual,proper,incomplete,1,critical,priority,priority
usual,proper,incomplete,1,critical,not_recom,not_recom
usual,proper,incomplete,1,critical,recommended,priority
usual,proper,incomplete,1,critical,priority,priority
usual,proper,incomplete,1,critical,not_recom,not_recom
usual,proper,incomplete,1,critical,recommended,priority
usual,proper,incomplete,1,critical,priority,priority
usual,proper,incomplete,1,critical,not_recom,not_recom
usual,proper,incomplete,1,critical,recommended,priority
usual,proper,incomplete,1,critical,priority,priority
usual,proper,incomplete,1,critical,not_recom,not_recom
usual,proper,incomplete,2,convenient,recommended,very_recom
usual,proper,incomplete,2,convenient,priority,priority
usual,proper,incomplete,2,convenient,not_recom,not_recom
usual,proper,incomplete,2,convenient,recommended,very_recom
usual,proper,incomplete,2,convenient,priority,priority
usual,proper,incomplete,2,convenient,not_recom,not_recom
usual,proper,incomplete,2,convenient,recommended,priority
usual,proper,incomplete,2,convenient,priority,priority
usual,proper,incomplete,2,convenient,not_recom,not_recom
usual,proper,incomplete,2,convenient,recommended,priority
usual,proper,incomplete,2,convenient,priority,priority
usual,proper,incomplete,2,convenient,not_recom,not_recom
usual,proper,incomplete,2,convenient,recommended,priority
usual,proper,incomplete,2,convenient,priority,priority
usual,proper,incomplete,2,convenient,not_recom,not_recom
usual,proper,incomplete,2,convenient,recommended,priority
usual,proper,incomplete,2,convenient,priority,priority
usual,proper,incomplete,2,convenient,not_recom,not_recom
usual,proper,incomplete,2,less_conv,recommended,priority
usual,proper,incomplete,2,less_conv,priority,priority
usual,proper,incomplete,2,less_conv,not_recom,not_recom
usual,proper,incomplete,2,less_conv,recommended,priority
usual,proper,incomplete,2,less_conv,priority,priority
usual,proper,incomplete,2,less_conv,not_recom,not_recom
usual,proper,incomplete,2,less_conv,recommended,priority
usual,proper,incomplete,2,less_conv,priority,priority
usual,proper,incomplete,2,less_conv,not_recom,not_recom
usual,proper,incomplete,2,less_conv,recommended,priority
usual,proper,incomplete,2,less_conv,priority,priority
usual,proper,incomplete,2,less_conv,not_recom,not_recom
usual,proper,incomplete,2,less_conv,recommended,priority
usual,proper,incomplete,2,less_conv,priority,priority
usual,proper,incomplete,2,less_conv,not_recom,not_recom
usual,proper,incomplete,2,less_conv,recommended,priority
usual,proper,incomplete,2,less_conv,priority,priority
usual,proper,incomplete,2,less_conv,not_recom,not_recom
usual,proper,incomplete,2,critical,recommended,priority
usual,proper,incomplete,2,critical,priority,priority
usual,proper,incomplete,2,critical,not_recom,not_recom
usual,proper,incomplete,2,critical,recommended,priority
usual,proper,incomplete,2,critical,priority,priority
usual,proper,incomplete,2,critical,not_recom,not_recom
usual,proper,incomplete,2,critical,recommended,priority
usual,proper,incomplete,2,critical,priority,priority
usual,proper,incomplete,2,critical,not_recom,not_recom
usual,proper,incomplete,2,critical,recommended,priority
usual,proper,incomplete,2,critical,priority,priority
usual,proper,incomplete,2,critical,not_recom,not_recom
usual,proper,incomplete,2,critical,recommended,priority
usual,proper,incomplete,2,critical,priority,priority
usual,proper,incomplete,2,critical,not_recom,not_recom
usual,proper,incomplete,2,critical,recommended,priority
usual,proper,incomplete,2,critical,priority,priority
usual,proper,incomplete,2,critical,not_recom,not_recom
usual,proper,incomplete,3,convenient,recommended,very_recom
usual,proper,incomplete,3,convenient,priority,priority
usual,proper,incomplete,3,convenient,not_recom,not_recom
usual,proper,incomplete,3,convenient,recommended,very_recom
usual,proper,incomplete,3,convenient,priority,priority
usual,proper,incomplete,3,convenient,not_recom,not_recom
usual,proper,incomplete,3,convenient,recommended,priority
usual,proper,incomplete,3,convenient,priority,priority
usual,proper,incomplete,3,convenient,not_recom,not_recom
usual,proper,incomplete,3,convenient,recommended,priority
usual,proper,incomplete,3,convenient,priority,priority
usual,proper,incomplete,3,convenient,not_recom,not_recom
usual,proper,incomplete,3,convenient,recommended,priority
usual,proper,incomplete,3,convenient,priority,priority
usual,proper,incomplete,3,convenient,not_recom,not_recom
usual,proper,incomplete,3,convenient,recommended,priority
usual,proper,incomplete,3,convenient,priority,priority
usual,proper,incomplete,3,convenient,not_recom,not_recom
usual,proper,incomplete,3,less_conv,recommended,priority
usual,proper,incomplete,3,less_conv,priority,priority
usual,proper,incomplete,3,less_conv,not_recom,not_recom
usual,proper,incomplete,3,less_conv,recommended,priority
usual,proper,incomplete,3,less_conv,priority,priority
usual,proper,incomplete,3,less_conv,not_recom,not_recom
usual,proper,incomplete,3,less_conv,recommended,priority
usual,proper,incomplete,3,less_conv,priority,priority
usual,proper,incomplete,3,less_conv,not_recom,not_recom
usual,proper,incomplete,3,less_conv,recommended,priority
usual,proper,incomplete,3,less_conv,priority,priority
usual,proper,incomplete,3,less_conv,not_recom,not_recom
usual,proper,incomplete,3,less_conv,recommended,priority
usual,proper,incomplete,3,less_conv,priority,priority
usual,proper,incomplete,3,less_conv,not_recom,not_recom
usual,proper,incomplete,3,less_conv,recommended,priority
usual,proper,incomplete,3,less_conv,priority,priority
usual,proper,incomplete,3,less_conv,not_recom,not_recom
usual,proper,incomplete,3,critical,recommended,priority
usual,proper,incomplete,3,critical,priority,priority
usual,proper,incomplete,3,critical,not_recom,not_recom
usual,proper,incomplete,3,critical,recommended,priority
usual,proper,incomplete,3,critical,priority,priority
usual,proper,incomplete,3,critical,not_recom,not_recom
usual,proper,incomplete,3,critical,recommended,priority
usual,proper,incomplete,3,critical,priority,priority
usual,proper,incomplete,3,critical,not_recom,not_recom
usual,proper,incomplete,3,critical,recommended,priority
usual,proper,incomplete,3,critical,priority,priority
usual,proper,incomplete,3,critical,not_recom,not_recom
usual,proper,incomplete,3,critical,recommended,priority
usual,proper,incomplete,3,critical,priority,priority
usual,proper,incomplete,3,critical,not_recom,not_recom
usual,proper,incomplete,3,critical,recommended,priority
usual,proper,incomplete,3,critical,priority,priority
usual,proper,incomplete,3,critical,not_recom,not_recom
usual,proper,incomplete,more,convenient,recommended,very_recom
usual,proper,incomplete,more,convenient,priority,priority
